Date,Market,Unit,Price_flag,Kes_price,Usd_price,Exch_rate
1/15/2022,Nairobi,KG,actual,50.00,0.44,113.3530
1/15/2022,Garissa,KG,actual,50.00,0.44,113.3530
1/15/2022,Kakuma,KG,actual,50.00,0.44,113.3530
1/15/2022,Mogadishu,KG,actual,45.00,0.40,113.3501
1/15/2022,Baringo,KG,actual,60.00,0.53,113.3573
1/15/2022,Wajir,KG,actual,60.00,0.53,113.3573
1/15/2022,Kisumu,KG,actual,68.75,0.61,113.3553
1/15/2022,Nakuru,KG,actual,44.38,0.39,113.3589
1/15/2022,Eldoret,KG,actual,48.75,0.43,113.3457
1/15/2022,Kalobeyei,KG,actual,47.17,0.42,113.3622
2/15/2022,Nairobi,KG,actual,53.62,0.47,113.3376
2/15/2022,Garissa,KG,actual,54.33,0.48,113.3528
2/15/2022,Kakuma,KG,actual,47.33,0.42,113.3381
2/15/2022,Mogadishu,KG,actual,50.00,0.44,113.3530
2/15/2022,Baringo,KG,actual,47.17,0.42,113.3622
2/15/2022,Wajir,KG,actual,50.00,0.44,113.3530
2/15/2022,Kisumu,KG,actual,68.75,0.61,112.6495
2/15/2022,Nakuru,KG,actual,50.00,0.44,112.6380
2/15/2022,Eldoret,KG,actual,40.00,0.36,112.6443
2/15/2022,Kalobeyei,KG,actual,45.38,0.40,112.6334
3/15/2022,Nairobi,KG,actual,42.69,0.38,112.6385
3/15/2022,Garissa,KG,actual,46.54,0.41,112.6604
3/15/2022,Kakuma,KG,actual,42.77,0.38,112.6416
3/15/2022,Mogadishu,KG,actual,45.00,0.40,112.6408
3/15/2022,Baringo,KG,actual,46.35,0.41,112.6641
3/15/2022,Wajir,KG,actual,47.31,0.42,112.6429
3/15/2022,Kisumu,KG,actual,36.85,0.33,112.6567
3/15/2022,Nakuru,KG,actual,60.00,0.53,112.6549
3/15/2022,Eldoret,KG,actual,45.00,0.40,112.6549
3/15/2022,Kalobeyei,KG,actual,51.00,0.45,112.6549
4/15/2022,Nairobi,KG,forecast,Null,Null,NaN
4/15/2022,Garissa,KG,forecast,Null,Null,NaN
4/15/2022,Kakuma,KG,forecast,Null,Null,NaN
4/15/2022,Mogadishu,KG,forecast,Null,Null,NaN
4/15/2022,Baringo,KG,forecast,Null,Null,NaN
4/15/2022,Wajir,KG,forecast,Null,Null,NaN
4/15/2022,Kisumu,KG,forecast,Null,Null,NaN
4/15/2022,Nakuru,KG,forecast,Null,Null,NaN
4/15/2022,Eldoret,KG,forecast,Null,Null,NaN
4/15/2022,Kalobeyei,KG,forecast,Null,Null,NaN
Five number summary,,,,,,
Min,,,,36.85,0.33,112.6334
Q1,,,,45.10,0.40,112.6509
Median,,,,48.04,0.43,113.3378
Q3,,,,50.75,0.45,113.3530
Max,,,,68.75,0.61,113.3622
