Date,Market,Category,Commodity,Unit,Price_flag,Currency,Price,Usd_price,Exch_rate,,,,,,,,,,,,,,
#date,#loc+market+name,#item+type,#item+name,#item+unit,#item+price+flag,#currency,#value,#value+usd,#exchange+rate,,,,,,,,,,,,,,
12/15/2021,Nairobi,cereals and tubers,Maize,KG,actual,KES,52.31,0.46,112.8587,,,,,,,,,,,,,,
12/15/2021,Garissa,cereals and tubers,Maize,KG,actual,KES,50.00,0.44,112.8413,,,,,,,,,,,,,,
12/15/2021,Kakuma,cereals and tubers,Maize,KG,actual,KES,50.00,0.44,112.8413,,,,,,,,,,,,,,
12/15/2021,Mogadishu,cereals and tubers,Maize,KG,actual,KES,42.50,0.38,112.8518,,,,,,,,,,,,,,
12/15/2021,Baringo,cereals and tubers,Maize,KG,actual,KES,46.67,0.41,112.8658,,,,,,,,,,,,,,
12/15/2021,Wajir,cereals and tubers,Maize,KG,actual,KES,47.50,0.42,112.8534,,,,,,,,,,,,,,
12/15/2021,Kisumu,cereals and tubers,Maize,KG,actual,KES,50.00,0.44,112.8413,,,,,,,,,,,,,,
12/15/2021,Nakuru,cereals and tubers,Maize,KG,actual,KES,47.50,0.42,112.8534,,,,,,,,,,,,,,
12/15/2021,Eldoret,cereals and tubers,Maize,KG,actual,KES,40.00,0.35,112.8350,,,,,,,,,,,,,,
12/15/2021,Kalobeyei,cereals and tubers,Maize,KG,actual,KES,25.00,0.22,112.8668,,,,,,,,,,,,,,
1/15/2022,Nairobi,cereals and tubers,Maize,KG,actual,KES,50.00,0.44,113.3530,,,,,,,,,,,,,,
1/15/2022,Garissa,cereals and tubers,Maize,5 KG,actual,KES,250.00,2.21,113.3530,,,,,,,,,,,,,,
1/15/2022,Kakuma,cereals and tubers,Maize,KG,actual,KES,50.00,0.44,113.3530,,,,,,,,,,,,,,
1/15/2022,Mogadishu,cereals and tubers,Maize,KG,actual,KES,45.00,0.40,113.3501,,,,,,,,,,,,,,
1/15/2022,Baringo,cereals and tubers,Maize,KG,actual,KES,60.00,0.53,113.3573,,,,,,,,,,,,,,
1/15/2022,Baringo,cereals and tubers,Maize,KG,actual,KES,60.00,0.53,113.3573,,,,,,,,,,,,,,
